"Seconds","O2","CO2","BP","WVP","FlowRate","Temperature","Marker","O2_lagcorrected","CO2_lagcorrected","WVP_lagcorrected","O2_lagdriftcorrected","CO2_lagdriftcorrected"
29,21.55853,0.0161722,98.99963,0.0817,152.1304,25.96524,-1,21.55775,0.0151,0.0814,-0.0236690637059418,0.0032395862323455
30,21.55853,0.0149,99.00339,0.0823,152.1304,25.97149,-1,21.55697,0.0149,0.0811,-0.0244360746816312,0.00303766243532099
31,21.57103,0.0154,99.04089,0.0805,152.1742,25.96524,-1,21.55775,0.0148,0.0827,-0.0236430964867544,0.00293573986896154
32,21.57103,0.0152,98.97338,0.082,152.218,25.96524,-1,21.56791,0.0141,0.0817,-0.0134701291190638,0.00223381853301342
33,21.56947,0.0141,99.01839,0.082,152.3179,25.9668,-1,21.56947,0.0123,0.0817,-0.0118971725763224,0.000431898427222924
34,21.564,0.0151,98.97338,0.0823,152.3742,25.96836,-1,21.55072,0.0149,0.082,-0.0306342268562823,0.00302997955133631
35,21.55462,0.0145,98.95839,0.082,152.368,25.9668,-1,21.56635,0.0164847,0.0817,-0.0149912919567079,0.00461276190509986
36,21.56635,0.0149,98.95839,0.0827,152.4117,25.96524,-1,21.55072,0.0161722,0.0817,-0.0306083678753559,0.00429834548825984
37,21.5515,0.0148,98.95839,0.082,152.4117,25.96524,-1,21.564,0.0155,0.0817,-0.0173154546099852,0.00362423030056252
38,21.5515,0.014,98.96588,0.0817,152.3617,25.9668,-1,21.55228,0.0152,0.0811,-0.0290225521583594,0.0033223163417542
39,21.55306,0.0148,98.98464,0.0814,152.3242,25.96993,-1,21.55072,0.0152,0.0814,-0.030569660518232,0.00332040361158113
40,21.55931,0.0161722,99.05963,0.0817,152.3179,25.97149,-1,21.55619,0.0157,0.0823,-0.02508677968736,0.00381849210978959
41,21.57338,0.0155,99.00339,0.0817,152.343,25.96993,-1,21.55775,0.0149,0.0811,-0.0235139096635102,0.00301658183612586
42,21.55775,0.0163,99.05963,0.0817,152.3179,25.96368,-1,21.55853,0.0149,0.0814,-0.0227210504444351,0.00301467279033622
43,21.57494,0.0145,99.05214,0.0817,152.3367,25.96524,-1,21.55619,0.0143,0.0808,-0.0250482020278966,0.00241276497216692
44,21.57181,0.0145,99.02964,0.082,152.2805,25.96993,-1,21.56947,0.0143,0.0817,-0.0117553644116555,0.00241085838136426
