Seconds	O2	CO2	BP	WVP	FlowRate	Temp	Marker
175	-5.34E-03	9.20E-02	98.08087	2.256128	199.6249	25.42929	-1
176	-2.17E-02	0.1019963	98.13338	2.268629	199.6312	25.42461	-1
177	-1.71E-02	0.1132464	98.13338	2.278316	199.6437	25.43086	-1
178	-2.41E-02	0.117934	98.12962	2.284566	199.6312	25.43711	-1
179	-9.25E-03	0.1268404	98.06587	2.292379	199.6624	25.41992	-1
180	-6.91E-03	0.1407468	98.11087	2.298941	199.6562	25.42773	-1
181	-1.63E-02	0.1487157	98.02087	2.307692	199.6187	25.43086	-1
182	-3.01E-03	0.1562158	98.08838	2.313629	199.6374	25.41055	-1
183	-1.47E-02	0.1644971	98.12962	2.319254	199.6124	25.43398	-1
184	-1.45E-03	0.1652784	98.00961	2.326442	199.6062	25.41523	-1
185	-0.0100441	0.1740285	98.15962	2.329567	199.6562	25.42617	-1
186	-1.16E-02	0.1752785	98.03213	2.336755	199.6374	25.43554	-1
187	-1.32E-02	0.1809035	98.08838	2.342067	199.6312	25.43242	-1
188	-1.71E-02	0.181216	98.05836	2.346755	199.6187	25.43711	-1
189	-1.16E-02	0.1848098	98.11837	2.34988	199.6312	25.43711	-1
190	-9.27E-03	0.1879348	98.10712	2.355817	199.6437	25.43711	-1
191	-1.32E-02	0.1816847	98.06962	2.355817	199.6249	25.43554	-1
192	-0.0225563	0.1852785	98.08463	2.36113	199.6374	25.43086	-1
193	-3.81E-03	0.1835597	98.08463	2.363942	199.6249	25.43398	-1
194	-2.41E-02	0.1866847	98.03213	2.367692	199.6562	25.42148	-1
195	-1.63E-02	0.1865285	98.05087	2.370193	199.6499	25.42617	-1
196	-5.37E-03	0.1837159	98.05836	2.37488	199.6187	25.42929	-1
197	-1.79E-02	0.1791846	98.06212	2.377693	199.6312	25.42929	-1
198	-1.32E-02	0.1796533	98.13713	2.381443	199.6374	25.42773	-1
199	-2.88E-02	0.1754345	98.12588	2.385193	199.6624	25.42617	-1
200	-2.18E-02	0.1760595	98.08838	2.385818	199.6874	25.43242	-1
201	-2.65E-02	0.1719969	98.10712	2.388943	199.6312	25.43867	-1
202	-0.0483532	0.1687156	98.09962	2.38988	199.6312	25.42773	-1
203	-5.85E-02	0.1694968	98.11462	2.391755	199.6437	25.42461	-1
204	-7.10E-02	0.1648092	98.08463	2.395505	199.6499	25.43398	-1
205	-8.82E-02	0.1626217	98.05463	2.396131	199.6374	25.43554	-1
206	-8.74E-02	0.1604341	98.04712	2.39863	199.6374	25.44336	-1
207	-9.91E-02	0.1544965	98.05463	2.400506	199.6124	25.43554	-1
208	-9.91E-02	0.1493402	98.11462	2.403318	199.6624	25.43086	-1
209	-0.1038342	0.1496527	98.10712	2.405193	199.5999	25.43242	-1
210	-0.117897	0.1487151	98.11837	2.408006	199.6124	25.42461	-1
211	-0.1100864	0.1465276	98.10712	2.408006	199.6624	25.43867	-1
212	-0.1335258	0.1448088	98.03963	2.410506	199.6312	25.44336	-1
213	-0.1163406	0.1362149	98.06962	2.409256	199.6374	25.44492	-1
214	-0.1382179	0.1394962	98.05463	2.413943	199.6499	25.45742	-1
215	-0.1350937	0.1329336	98.05463	2.413006	199.6562	25.4418	-1
216	-0.1429081	0.1324648	98.08838	2.416131	199.6437	25.44805	-1
217	-0.1335335	0.1280897	98.07337	2.417381	199.6374	25.44492	-1
218	-0.1272869	0.1244959	98.09962	2.417381	199.6249	25.44648	-1
219	-0.1218185	0.1215271	97.99837	2.420193	199.6312	25.43554	-1
220	-0.1210384	0.1244958	98.06212	2.421443	199.6499	25.43398	-1
221	-0.1265106	0.1234021	98.05463	2.423631	199.6562	25.43086	-1
222	-0.1155739	0.1194957	98.12212	2.423006	199.6312	25.43711	-1
223	-0.1179199	0.1184019	98.11087	2.426131	199.6624	25.43867	-1
224	-0.1171398	0.1140268	98.14462	2.426756	199.6374	25.44492	-1
225	-0.1280766	0.1102768	98.07713	2.424568	199.6687	25.44805	-1
226	-0.1187057	0.1076205	98.03213	2.426756	199.6374	25.4418	-1
227	-0.1038628	0.1024641	98.10712	2.430819	199.6374	25.44336	-1
228	-8.90E-02	0.1002766	98.09212	2.430819	199.6312	25.43867	-1
229	-9.84E-02	9.37E-02	98.07337	2.432381	199.6249	25.44961	-1
230	-9.37E-02	8.59E-02	98.05463	2.431131	199.6562	25.43867	-1
231	-0.1046505	7.93E-02	98.13338	2.434569	199.6187	25.43711	-1
232	-8.51E-02	7.56E-02	98.08463	2.436756	199.6124	25.44492	-1
233	-7.42E-02	7.14E-02	98.13713	2.436756	199.6249	25.44336	-1
234	-8.04E-02	7.18E-02	98.12588	2.437068	199.6499	25.43242	-1
235	-7.58E-02	6.75E-02	98.11462	2.440819	199.6374	25.42929	-1
236	-7.42E-02	6.45E-02	98.09587	2.438944	199.6749	25.43554	-1
237	-7.58E-02	5.92E-02	98.06962	2.441756	199.6437	25.42929	-1
238	-6.64E-02	5.57E-02	98.05836	2.443944	199.6624	25.41679	-1
239	-6.64E-02	5.61E-02	98.06962	2.447381	199.6812	25.41679	51
240	-5.86E-02	5.23E-02	98.07337	2.449569	199.6562	25.57461	-1
241	-4.76E-02	4.75E-02	98.08463	2.448944	199.6687	25.58711	-1
242	-5.47E-02	5.00E-02	98.08838	2.376755	197.8999	25.58555	-1
243	-4.14E-02	4.75E-02	98.10712	2.277379	181.4934	25.58086	-1
244	-0.0523262	4.34E-02	98.12588	2.18269	171.487	25.58086	-1
245	-5.70E-02	4.47E-02	98.07337	2.104251	165.3244	25.5918	-1
246	-5.78E-02	3.68E-02	98.12962	2.038938	161.3118	25.60273	-1
247	-6.01E-02	4.12E-02	98.04338	1.991437	158.7743	25.59336	-1
248	-5.86E-02	0.0379315	98.10712	1.958311	157.4118	25.60742	-1
249	-5.94E-02	4.28E-02	98.06587	1.942999	156.4555	25.60273	-1
250	-6.02E-02	3.87E-02	98.14087	1.950811	155.6805	25.60899	-1
251	-6.48E-02	5.25E-02	98.12212	1.974249	155.1242	25.59023	-1
252	-6.48E-02	5.81E-02	98.05836	2.007375	154.868	25.59336	-1
253	-0.0632782	7.59E-02	98.07337	2.046438	154.4992	25.59492	-1
254	-5.62E-02	8.93E-02	98.09587	2.084563	154.2805	25.59023	-1
255	-6.48E-02	0.1074637	98.09962	2.125189	154.3242	25.5793	-1
256	-7.03E-02	0.1185576	98.08087	2.161752	154.293	25.58711	-1
257	-8.59E-02	0.1319953	98.12962	2.194877	154.218	25.58867	-1
258	-8.20E-02	0.1459017	98.14462	2.228315	154.3617	25.57773	-1
259	-0.1015701	0.1530893	98.11087	2.255816	154.618	25.5793	-1
260	-9.53E-02	0.1612144	98.03587	2.283316	154.5805	25.58398	-1
261	-0.1125126	0.1704333	98.12212	2.304567	154.5992	25.57773	-1
262	-0.1007938	0.1757459	98.04712	2.323629	154.6992	25.5668	-1
263	-0.104702	0.1705895	98.11462	2.34238	154.7555	25.58086	-1
264	-0.1078262	0.1773083	98.10712	2.359567	154.543	25.5793	-1
265	-0.1000175	0.1749645	98.04338	2.371755	154.5742	25.58086	-1
266	-0.1156425	0.174027	98.12212	2.382693	154.6492	25.57461	-1
267	-0.1054878	0.1755895	98.08838	2.395505	154.5055	25.5668	-1
268	-0.1125221	0.1724644	98.10338	2.404568	154.5492	25.56992	-1
269	-0.111742	0.1729332	98.03213	2.413631	154.6617	25.56211	-1
270	-0.1125259	0.1691831	98.09212	2.418006	154.768	25.57461	-1
271	-0.1047153	0.1665268	98.07337	2.424568	154.4242	25.57617	-1
272	-0.1195602	0.1638705	98.03213	2.428006	154.368	25.56055	-1
273	-0.116436	0.1590266	98.08463	2.435506	154.3805	25.56055	-1
274	-0.1211243	0.1599641	98.09962	2.438318	154.243	25.54648	-1
275	-0.1226902	0.1598079	98.04338	2.443006	154.0867	25.5543	-1
276	-0.104723	0.1565266	98.06212	2.444256	154.243	25.54024	-1
277	-0.1125374	0.154339	98.09962	2.448944	154.1555	25.54336	-1
278	-0.1101952	0.1540265	98.05087	2.454569	154.143	25.53867	-1
279	-0.1180077	0.1499639	98.10338	2.456756	154.4055	25.53242	-1
